"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 18:56:15 IST 2023","Mon Sep 25 18:57:14 IST 2023","59076","Chrome","src\test\Dominos.test.ts","","","","Dominos Order Test",""
"passed","Mon Sep 25 18:56:15 IST 2023","Mon Sep 25 18:57:13 IST 2023","58304","Edge","src\test\Dominos.test.ts","","","","Dominos Order Test",""
